common_name,scientific_name,MLE_combined,MLE_male,MLE_female
"Snake, Louisiana Pine",Pituophis ruthveni,16.4,-,-
"Spider, Sapphire Ornamental Spider",Poecilotheria metallica,13.1,-,-
"Spoonbill, Roseate",Ajaia ajaja,-,12,9.8
"Springbok, South African",Antidorcas marsupialis,-,4.4,6.6
"Squirrel, Prevost's",Callosciurus prevostii,7.6,-,-
"Starling, Emerald",Coccycolius iris,-,9.6,6.9
"Starling, Golden-breasted",Cosmopsarus regius,8,-,-
"Starling, Grosbeak",Scissirostrum dubium,6.5,-,-
"Starling, Violet-backed (Amethyst)",Cinnyricinclus leucogaster,7.3,-,-
Steenbok,Raphicerus campestris,5.7,-,-
"Stilt, Black-necked",Himantopus mexicanus,-,12.9,
"Stingray, Ocellated River",Potamotrygon motoro,6.5,-,-
"Stingray, White-blotched River",Potamotrygon leopoldi,6.4,-,-
"Stork, European White",Ciconia ciconia ciconia,-,17.3,12.8
"Stork, Marabou",Leptoptilos crumenifer,-,18.4,9.7
"Stork, Painted",Mycteria leucocephala,10.9,-,-
"Stork, Saddle-billed",Ephippiorhynchus senegalensis,11.4,-,-
"Stork, Yellow-billed",Mycteria ibis,11,-,-
Sunbittern,Eurypyga helias,-,16.7,12.2
"Swan, Coscoroba",Coscoroba coscoroba,9.7,-,-
"Swan, Trumpeter",Cygnus buccinator,11.3,-,-
"Takin, Sichuan",Budorcas taxicolor tibetana,-,12.4,
"Tamandua, Southern",Tamandua tetradactyla,-,,9.2
"Tamarin, Bearded Emperor",Saguinus imperator subgrisescens,7.8,-,-
"Tamarin, Cotton-top",Saguinus oedipus,12.2,-,-
"Tamarin, Golden-headed Lion",Leontopithecus chrysomelas,11.6,-,-
"Tamarin, Pied",Sanguinus bicolor,10.6,-,-
"Tanager, Blue-grey",Thraupis episcopus,4.7,-,-
"Tanager, Silver-beaked",Ramphocelus carbo,5,-,-
"Tanager, Turquoise",Tangara mexicana,3.3,-,-
"Tapir, Malayan (Asian)",Tapirus indicus,-,20.4,12.1
"Tarantula, Mexican Red-kneed",Brachypelma smithi,-,,17.2
"Teal, Marbled",Marmaronetta angustirostris,-,5.8,5.1
"Tenrec, Lesser Madagascar Hedgehog",Echinops telfairi,-,8.4,7.3
"Tern, Inca",Larosterna inca,9.6,-,-
"Terrapin, Painted",Batagur borneoensis,14.7,-,-
"Thursh, Common Shama",Copsychus malabaricus,-,5.3,4.4
"Tiger, Amur (Siberian)",Panthera tigris altaica,-,16,14.3
"Tiger, Malayan",Panthera tigris jacksoni,16.1,-,-
"Tiger, Sumatran",Panthera tigris sumatrae,18.4,-,-
"Tinamou, Elegant Crested",Eudromia elegans,-,3.8,2.9
"Toad, Houston",Bufo (Anaxyrus) houstonensis,-,5.4,4.7
"Toad, Puerto Rican Crested (Northern and South",Peltophryne lemur,5.5,-,-
"Toad, Wyoming",Anaxyrus baxteri,3,-,-
"Tortoise, Egyptian",Testudo kleinmanni,12.9,-,-
"Toucan, Chestnut-mandibled",Ramphastos ambiguus swainsonii,10.3,-,-
"Toucan, Keel-billed",Ramphastos sulfuratus,8,-,-
"Toucan, Toco",Ramphastos toco,8.5,-,-
"Tragopan, Cabot's",Tragopan caboti,4.4,-,-
"Tree Kangaroo, Matschie's",Dendrolagus matschiei,12,-,-
"Tree Shrew, Northern",Tupaia belangeri,7.1,-,-
Troupial,Icterus icterus,-,6.1,
"Trumpeter, Grey-winged",Psophia crepitans,5.7,-,-
"Turaco, Lady Ross'",Musophaga rossae,10.5,-,-
"Turaco, Red-crested",Tauraco erythrolophus,9,-,-
"Turaco, Violaceous",Musophaga violacea,-,16.1,11.9
"Turaco, White-cheeked",Tauraco leucotis,10.4,-,-
"Turtle, Coahuilan Box",Terrapene coahuila,-,,15.3
"Turtle, Wood",Glyptemys insculpta,17.1,-,-
"Viper, Philippine Palm",Parias flavomaculatus mcgregori,13,-,-
"Vulture, Eurasian Black",Aeypius monachus,31.9,-,-
"Vulture, King",Sarcorhamphus papa,-,,28.4
"Wallaby, Bennett’s",Macropus rufogriseus,5.3,-,-
"Wallaby, Parma",Macropus parma,5.5,-,-
"Wallaby, Tammar",Macropus eugenii,5.8,-,-
"Wallaby, Yellow-footed Rock",Petrogale xanthopus xanthopus,-,6.1,
"Wallaroo, Common",Macropus robustus,-,7.1,8.8
"Warthog, Common",Phacochoerus africanus,-,11.2,12.5
"Weaver, White-headed Buffalo",Dinemellia dinemelli,7.3,-,-
"Wildebeest, White-bearded",Connochaetes taurinus,-,8.5,14
"Wolf, Maned",Chrysocyon brachyurus,12,-,-
"Wolf, Mexican Gray",Canis lupus baileyi,11,-,-
"Wolf, Red",Canis rufus gregoryi,10.8,-,-
"Woodhoopoe, Green",Phoeniculus purpureus,-,6.2,4.1
"Zebra, Grevy's",Equus grevyi,-,10.9,16.5
"Zebra, Hartmann's Mountain",Equus zebra hartmannae,-,12.3,15.2
"Zebra, Plains",Equus quagga,16.9,-,-
